date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-11-06,J,1451.25,j2511,1713.0,j2601,1767.5,2511,2601,261.75,316.25,0.180361757105943,0.2179155900086131
2025-11-07,J,1451.25,j2511,1713.0,j2601,1764.5,2511,2601,261.75,313.25,0.180361757105943,0.215848406546081
2025-11-10,J,1451.25,j2511,1713.0,j2601,1748.0,2511,2601,261.75,296.75,0.180361757105943,0.2044788975021534
2025-11-11,J,1451.25,j2511,1713.0,j2601,1722.0,2511,2601,261.75,270.75,0.180361757105943,0.18656330749354
2025-11-12,J,1451.25,j2511,1713.0,j2601,1691.0,2511,2601,261.75,239.75,0.180361757105943,0.1652024117140396
2025-11-13,J,1451.25,j2511,1818.0,j2601,1686.0,2511,2601,366.75,234.75,0.2527131782945737,0.1617571059431524
2025-11-14,J,1451.25,j2511,1718.5,j2601,1680.5,2511,2601,267.25,229.25,0.184151593453919,0.1579672695951766
2025-11-17,J,1451.25,j2512,1673.5,j2601,1710.0,2512,2601,222.25,258.75,0.1531438415159345,0.1782945736434109
2025-11-18,J,1538.75,j2512,1619.5,j2601,1649.5,2512,2601,80.75,110.75,0.0524776604386676,0.071974004874086
2025-11-19,J,1538.75,j2512,1625.0,j2601,1639.0,2512,2601,86.25,100.25,0.0560519902518277,0.0651502843216897
2025-11-20,J,1538.75,j2512,1600.0,j2601,1633.5,2512,2601,61.25,94.75,0.0398050365556457,0.0615759545085297
2025-11-21,J,1538.75,j2512,1599.5,j2601,1614.5,2512,2601,60.75,75.75,0.0394800974817222,0.0492282696994312
2025-11-24,J,1538.75,j2512,1610.0,j2601,1632.5,2512,2601,71.25,93.75,0.0463038180341186,0.0609260763606824
2025-11-25,J,1538.75,j2512,1609.5,j2601,1643.0,2512,2601,70.75,104.25,0.0459788789601949,0.0677497969130787
2025-11-26,J,1538.75,j2512,1606.5,j2601,1619.0,2512,2601,67.75,80.25,0.044029244516653,0.0521527213647441
2025-11-27,J,1577.5,j2512,1557.0,j2601,1607.0,2512,2601,-20.5,29.5,-0.0129952456418384,0.0187004754358162
2025-11-28,J,1577.5,j2512,1542.0,j2601,1574.5,2512,2601,-35.5,-3.0,-0.0225039619651347,-0.0019017432646593
2025-12-01,J,1577.5,j2512,1531.5,j2601,1619.5,2512,2601,-46.0,42.0,-0.0291600633914421,0.0266244057052298
2025-12-02,J,1538.75,j2512,1531.5,j2601,1629.5,2512,2601,-7.25,90.75,-0.0047116165718927,0.0589764419171405
2025-12-03,J,1538.75,j2512,1531.5,j2601,1624.5,2512,2601,-7.25,85.75,-0.0047116165718927,0.0557270511779042
2025-12-04,J,1538.75,j2512,1590.0,j2601,1651.5,2512,2601,51.25,112.75,0.033306255077173,0.0732737611697806
