date,value,增减
2025-05-06,24125,0.0
2025-05-07,23709,-416.0
2025-05-08,23564,-145.0
2025-05-09,23426,-138.0
2025-05-12,23222,-204.0
2025-05-13,23947,725.0
2025-05-14,23549,-398.0
2025-05-15,23344,-205.0
2025-05-16,23501,157.0
2025-05-19,23471,-30.0
2025-05-20,23142,-329.0
2025-05-21,23014,-128.0
2025-05-22,22562,-452.0
2025-05-23,22418,-144.0
2025-05-26,22250,-168.0
2025-05-27,22120,-130.0
2025-05-28,22344,224.0
2025-05-29,22170,-174.0
2025-05-30,22057,-113.0
2025-06-03,22038,-19.0
2025-06-04,22299,261.0
2025-06-05,22251,-48.0
2025-06-06,21157,-1094.0
2025-06-09,21192,35.0
2025-06-10,21041,-151.0
2025-06-11,21113,72.0
2025-06-12,21041,-72.0
2025-06-13,21765,724.0
2025-06-16,22350,585.0
2025-06-17,22241,-109.0
2025-06-18,22139,-102.0
2025-06-19,21765,-374.0
2025-06-20,21669,-96.0
2025-06-23,21478,-191.0
2025-06-24,21581,103.0
2025-06-25,21359,-222.0
2025-06-26,21263,-96.0
2025-06-27,21257,-6.0
2025-06-30,21221,-36.0
2025-07-01,21137,-84.0
2025-07-02,21137,0.0
2025-07-03,21065,-72.0
2025-07-04,21059,-6.0
2025-07-07,20832,-227.0
2025-07-08,20833,1.0
2025-07-09,20677,-156.0
2025-07-10,20605,-72.0
2025-07-11,20442,-163.0
2025-07-14,21296,854.0
2025-07-15,21555,259.0
2025-07-16,21049,-506.0
2025-07-17,20958,-91.0
2025-07-18,21560,602.0
2025-07-21,22111,551.0
2025-07-22,22093,-18.0
2025-07-23,21971,-122.0
2025-07-24,21971,0.0
2025-07-25,21947,-24.0
2025-07-28,21953,6.0
2025-07-29,21880,-73.0
2025-07-30,21759,-121.0
2025-07-31,21705,-54.0
2025-08-01,21374,-331.0
2025-08-04,21170,-204.0
2025-08-05,20923,-247.0
2025-08-06,20789,-134.0
2025-08-07,20687,-102.0
2025-08-08,20621,-66.0
2025-08-11,20723,102.0
2025-08-12,20693,-30.0
2025-08-13,20578,-115.0
2025-08-14,20720,142.0
2025-08-15,22141,1421.0
2025-08-18,23051,910.0
2025-08-19,22841,-210.0
2025-08-20,22559,-282.0
2025-08-21,22588,29.0
2025-08-22,22552,-36.0
2025-08-25,22292,-260.0
2025-08-26,22086,-206.0
2025-08-27,22025,-61.0
2025-08-28,22013,-12.0
2025-08-29,21905,-108.0
2025-09-01,21773,-132.0
2025-09-02,21956,183.0
2025-09-03,21860,-96.0
2025-09-04,21739,-121.0
2025-09-05,21678,-61.0
2025-09-08,22772,1094.0
2025-09-09,22599,-173.0
2025-09-10,22304,-295.0
2025-09-11,22111,-193.0
2025-09-12,23529,1418.0
2025-09-15,24959,1430.0
2025-09-16,26167,1208.0
2025-09-17,26141,-26.0
2025-09-18,25866,-275.0
2025-09-19,25843,-23.0
